"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal","no_Breast","no_CNS","no_Colon","no_Leukemia","no_Melanoma","no_Non-Small Cell Lung","no_Ovarian","no_Renal"
"TDRD12",0.833333333333333,0.666666666666667,0.285714285714286,0.833333333333333,0.777777777777778,0.666666666666667,0.571428571428571,0.625,0.648148148148148,0.666666666666667,0.716981132075472,0.648148148148148,0.647058823529412,0.666666666666667,0.679245283018868,0.673076923076923
"PAN3",0,0,0,0,0.111111111111111,0,0,0,0.0185185185185185,0.0185185185185185,0.0188679245283019,0.0185185185185185,0,0.0196078431372549,0.0188679245283019,0.0192307692307692
"PLEKHG4",0,0.166666666666667,0,0,0,0.111111111111111,0,0,0.037037037037037,0.0185185185185185,0.0377358490566038,0.037037037037037,0.0392156862745098,0.0196078431372549,0.0377358490566038,0.0384615384615385
"BRDT",1,1,1,1,0.888888888888889,1,1,1,0.981481481481482,0.981481481481482,0.981132075471698,0.981481481481482,1,0.980392156862745,0.981132075471698,0.980769230769231
"HSP90AB4P",0,0,0,0,0,0.111111111111111,0,0.125,0.037037037037037,0.037037037037037,0.0377358490566038,0.037037037037037,0.0392156862745098,0.0196078431372549,0.0377358490566038,0.0192307692307692
"HSP90AB2P",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HSP90AA5P",0.166666666666667,0.333333333333333,0.714285714285714,0.666666666666667,0.555555555555556,0.444444444444444,0.857142857142857,0.5,0.592592592592593,0.574074074074074,0.528301886792453,0.537037037037037,0.549019607843137,0.568627450980392,0.509433962264151,0.557692307692308
"HSP90AA4P",0,0,0,0,0,0,0,0.125,0.0185185185185185,0.0185185185185185,0.0188679245283019,0.0185185185185185,0.0196078431372549,0.0196078431372549,0.0188679245283019,0
"DCAF6",0.333333333333333,0.166666666666667,0.428571428571429,0.333333333333333,0.666666666666667,0.444444444444444,0.428571428571429,0.75,0.462962962962963,0.481481481481481,0.452830188679245,0.462962962962963,0.411764705882353,0.450980392156863,0.452830188679245,0.403846153846154
"TMEM41B",0.666666666666667,0.833333333333333,0.428571428571429,0.333333333333333,0.666666666666667,0.333333333333333,0.571428571428571,0.625,0.537037037037037,0.518518518518518,0.566037735849057,0.574074074074074,0.529411764705882,0.588235294117647,0.547169811320755,0.538461538461538
"ODF2",0,0,0,0,0,0.111111111111111,0,0,0.0185185185185185,0.0185185185185185,0.0188679245283019,0.0185185185185185,0.0196078431372549,0,0.0188679245283019,0.0192307692307692
"TMEM128",1,0.833333333333333,0.714285714285714,0.833333333333333,0.777777777777778,0.888888888888889,1,0.875,0.851851851851852,0.87037037037037,0.886792452830189,0.87037037037037,0.882352941176471,0.862745098039216,0.849056603773585,0.865384615384615
"YIF1B",0.333333333333333,0.166666666666667,0.857142857142857,0.5,0.222222222222222,0.222222222222222,0.428571428571429,0.75,0.462962962962963,0.481481481481481,0.39622641509434,0.444444444444444,0.490196078431373,0.490196078431373,0.452830188679245,0.403846153846154
"ALG10B",1,1,1,1,1,1,1,0.875,0.981481481481482,0.981481481481482,0.981132075471698,0.981481481481482,0.980392156862745,0.980392156862745,0.981132075471698,1
