"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal"
"LGALS9",0.666666666666667,0.833333333333333,0.285714285714286,0.333333333333333,0.666666666666667,0.444444444444444,0.571428571428571,0.625
"STXBP3",0,0,0,0,0,0,0,0
"AP4M1",0,0,0,0,0,0,0.142857142857143,0
"ARVCF",0.166666666666667,0.166666666666667,0.142857142857143,0,0.222222222222222,0.111111111111111,0,0
"SMAP",0,0,0,0,0,0,0,0
"RAB27B",0.333333333333333,1,1,1,0.888888888888889,0.666666666666667,1,1
"AP3B1",0,0,0,0,0,0,0,0
"SULT2B1",0,0.166666666666667,0.142857142857143,0.333333333333333,0.111111111111111,0.111111111111111,0,0.25
"APBB1",0.5,0.333333333333333,0.285714285714286,0.5,0.222222222222222,0.444444444444444,0.285714285714286,0.125
"LGALS8",0.333333333333333,0.166666666666667,0.142857142857143,0,0.333333333333333,0,0.428571428571429,0.25
"NDUFS8",0,0,0,0,0,0,0,0
"TNFRSF10A",1,0.833333333333333,0.428571428571429,0.666666666666667,0.888888888888889,0.555555555555556,0.714285714285714,0.875
"NFKBIE",0,0,0,0.166666666666667,0.111111111111111,0,0,0
"PSMD11",0,0,0,0,0,0,0,0
"PSMD12",0,0,0,0,0,0,0,0
"PSMD9",0,0,0,0,0,0,0,0
"ATOX1",0,0,0,0,0,0,0,0
"MEN1",0,0,0,0,0,0,0,0
"CBX4",0,0,0,0,0,0,0.142857142857143,0
"PGRMC1",0.166666666666667,0,0.142857142857143,0.166666666666667,0,0.222222222222222,0,0
"SUPT5H",0,0,0,0,0,0,0,0
"TAF4",0,0,0,0,0,0,0,0
"DFFA",0,0,0,0,0,0,0,0
"RFXAP",0,0,0.142857142857143,0.166666666666667,0.222222222222222,0.333333333333333,0.142857142857143,0.25
"HIP1",0,0,0,0,0,0,0,0
"CLIC1",0,0,0,0,0,0,0,0
"EIF3F",0,0,0,0,0,0,0,0
"WWP2",0,0,0,0,0,0,0,0
"CDC7",0.166666666666667,0.333333333333333,0,0,0.111111111111111,0.222222222222222,0.142857142857143,0.5
"PIK3CD",0,0,0.428571428571429,0.166666666666667,0,0.333333333333333,0.142857142857143,0
"PDHX",0,0,0,0,0,0,0,0
"MATN2",0.166666666666667,0,0.285714285714286,0.333333333333333,0.111111111111111,0,0.142857142857143,0
"FOXE1",0.666666666666667,0.5,0.714285714285714,0.666666666666667,0.666666666666667,0.666666666666667,0.571428571428571,0.625
"QSOX1",0.333333333333333,0.166666666666667,0.142857142857143,0.666666666666667,0.444444444444444,0.666666666666667,0.571428571428571,0.375
"DCTN6",0,0,0,0,0,0,0,0
"SLC33A1",0.166666666666667,0.166666666666667,0.428571428571429,0.333333333333333,0.222222222222222,0.333333333333333,0.285714285714286,0.625
"WASL",0,0,0,0.166666666666667,0,0,0,0
"IPO5",0,0,0,0,0,0,0,0
"POLRMT",0,0.5,0,0,0.111111111111111,0.111111111111111,0.285714285714286,0.5
"EEF2K",0,0,0,0,0,0,0.142857142857143,0
"SAP18",0,0,0,0,0,0,0,0
"EML1",0,0,0.142857142857143,0.333333333333333,0.222222222222222,0.111111111111111,0.142857142857143,0
"IGF2BP3",0,0,0,0,0,0,0,0
"DNM1L",0,0,0,0,0,0,0,0
"RTCA",0,0,0,0,0,0,0,0
"PIK3C2A",0,0,0,0,0,0,0,0
"LST1",1,1,1,0.833333333333333,1,1,1,1
"IFRD1",0,0,0.285714285714286,0,0.333333333333333,0,0,0
"PIK3R2",0,0,0,0,0,0,0,0
"GOLIM4",0,0,0,0.166666666666667,0,0,0.142857142857143,0
"MANBA",0.166666666666667,0.5,0.142857142857143,0.333333333333333,0.222222222222222,0.333333333333333,0.285714285714286,0
"TRAF5",0.166666666666667,0.333333333333333,0.142857142857143,0.166666666666667,0.444444444444444,0.555555555555556,0.428571428571429,0.625
"AGRN",0,0,0.142857142857143,0.5,0,0,0,0
"PLOD2",0,0,0.285714285714286,0.166666666666667,0,0,0.142857142857143,0
"MEIS1",0.5,0,0.428571428571429,0.666666666666667,0.111111111111111,0.444444444444444,0,0.375
"EXOC5",0,0,0,0,0,0,0,0
"ELL2",0.166666666666667,0,0.285714285714286,0.333333333333333,0.444444444444444,0.111111111111111,0.571428571428571,0.25
"HMGN4",0,0,0,0,0,0,0,0.125
"NDUFA4",0,0.166666666666667,0,0,0,0.111111111111111,0,0.125
"PSMD14",0,0,0,0,0,0,0,0
"ZNF593",0,0,0,0,0,0,0,0
"BIN1",0,0,0,0.166666666666667,0,0,0,0
"KP3",0,0,0,0,0,0,0,0
"STK25",0,0,0,0,0,0,0,0
"USP9Y",0.166666666666667,0,0.142857142857143,0.166666666666667,0,0.111111111111111,0.142857142857143,0
"BCL9",0.166666666666667,0,0,0,0,0,0,0
"LAD1",0.333333333333333,0.166666666666667,0,0.333333333333333,0.111111111111111,0.222222222222222,0.142857142857143,0.375
"KRIT1",0.333333333333333,0.5,0.142857142857143,0.166666666666667,0,0,0.428571428571429,0
"CHL1",0.5,0.666666666666667,0.571428571428571,0.666666666666667,0.333333333333333,0.666666666666667,0.857142857142857,0.875
"VWA5A",0.166666666666667,0,0.142857142857143,0,0.111111111111111,0.222222222222222,0.142857142857143,0.125
"PES1",0,0,0,0,0,0,0,0
"CAC1A",0.333333333333333,0,0,0.666666666666667,0,0.222222222222222,0,0.125
"EBAG9",0.833333333333333,1,0.571428571428571,0.833333333333333,0.888888888888889,0.666666666666667,1,1
"SDCBP",0,0,0,0,0,0,0,0
"PITPNM1",0,0,0,0,0,0,0,0
